@relation 'ulcer_classification-weka.filters.unsupervised.attribute.Remove-R1,3-24,26-31,33-48,50-54,56-76,80-83,85-101,103-119,121-146,148-159,161-173,175-186'

@attribute color_bgr_g_mean numeric
@attribute color_lab_l_mean numeric
@attribute color_lab_a_centroid numeric
@attribute color_luv_l_mean numeric
@attribute color_luv_l_centroid numeric
@attribute color_norm_g_variance numeric
@attribute color_norm_r_variance numeric
@attribute color_norm_b_centroid numeric
@attribute color_norm_r_asymetry numeric
@attribute haralick_bgr_g_contrast numeric
@attribute haralick_lab_b_homogeneity numeric
@attribute haralick_lab_ab_contrast numeric
@attribute lbph_bgr_b_energy numeric
@attribute wavelet_bgr_b_3_hl_energy numeric
@attribute classification {ULCER,NON_ULCER}

@data
0.000485,0.146218,-0.064516,0.145503,0.169355,-0.997359,-0.997128,0.007519,0.140613,-0.914488,-0.282179,-0.897297,0.287391,-0.744029,NON_ULCER
0.130199,0.262355,-0.129032,0.26146,0.314516,-0.994573,-0.997551,0.112782,0.137153,-0.895293,-0.38745,-0.906938,0.020821,-0.722935,NON_ULCER
0.177233,0.324059,-0.032258,0.323091,0.274194,-0.997905,-0.998963,-0.007519,0.150294,-0.987948,0.051674,-0.936303,0.044377,-0.903429,NON_ULCER
0.287341,0.395,-0.258065,0.394475,0.427419,-0.994532,-0.996909,0.097744,0.129621,-0.883985,0.146655,-0.848356,0.381209,-0.739312,NON_ULCER
0.282432,0.406996,-0.16129,0.406293,0.443548,-0.991199,-0.996853,0.037594,0.136661,-0.874234,0.323929,-0.791496,0.403255,-0.757453,NON_ULCER
0.01873,0.170129,0.032258,0.169,0.056452,-0.980238,-0.988885,0.052632,0.13962,-0.620821,-0.250455,-0.820959,-0.015546,-0.826544,ULCER
-0.054235,0.074572,-0.129032,0.073602,0.008065,-0.9928,-0.996095,0.007519,0.129721,-0.732971,0.248322,-0.889722,0.271582,-0.800353,ULCER
-0.163112,-0.044909,-0.16129,-0.046261,-0.137097,-0.989788,-0.996619,0.067669,0.144356,-0.646437,0.255605,-0.924596,0.29207,-0.658546,ULCER
-0.27823,-0.180428,-0.290323,-0.181045,-0.129032,-0.992266,-0.993626,0.097744,0.140453,-0.818343,-0.250061,-0.937139,0.139731,-0.803576,ULCER
0.058735,0.1629,-0.290323,0.161615,0.233871,-0.99167,-0.994885,0.142857,0.133897,-0.643999,0.187744,-0.895182,0.369028,-0.684406,ULCER
-0.359056,-0.202872,0.096774,-0.202886,-0.266129,-0.971713,-0.990738,-0.022556,0.140164,-0.849637,-0.273414,-0.885738,0.262914,-0.846529,ULCER
-0.232802,-0.08666,0,-0.087693,-0.137097,-0.984993,-0.994913,-0.022556,0.143795,-0.850283,-0.185368,-0.884951,0.200945,-0.709011,ULCER
-0.035855,0.05738,-0.354839,0.05648,0.153226,-0.995316,-0.997379,0.157895,0.134856,-0.638398,-0.030176,-0.941615,-0.056634,-0.708779,ULCER
-0.227575,-0.054084,0.096774,-0.054604,-0.129032,-0.974364,-0.986857,-0.052632,0.144427,-0.791029,0.207628,-0.815007,0.358631,-0.708893,ULCER
0.197903,0.301482,-0.290323,0.300908,0.330645,-0.992841,-0.993448,0.097744,0.127898,-0.778791,0.256646,-0.872999,0.29972,-0.592319,ULCER
